masters_university,masters_gpa,relevant_work_years,years_python,years_sql,first_job_salary
UCLA,3.82,3,0,3,171124
UCLA,3.81,5,1,5,173840
UCLA,3.56,2,1,2,171508
UCLA,3.34,5,5,1,192998
UCLA,3.28,4,3,1,165817
UCLA,3.64,4,1,4,185502
UCLA,3.65,6,5,3,206194
UCLA,3.87,3,2,2,189366
UCLA,3.83,7,3,3,205418
UCLA,3.52,4,2,2,175200
UCLA,3.24,2,2,1,150181
UCLA,3.47,4,2,4,150129
UCLA,3.61,2,0,1,162685
UCLA,3.5,3,2,3,140045
UCLA,3.41,5,3,1,156729
UCLA,3.62,5,3,2,196471
UCLA,3.43,3,2,3,170344
UCLA,3.4,5,5,5,197520
UCLA,3.63,6,2,6,181396
UCLA,3.45,6,2,2,157945
UCLA,3.61,5,1,5,173234
UCLA,3.62,6,4,6,189667
UCLA,3.27,1,0,1,133433
UCLA,3.43,3,1,0,170444
UCLA,3.91,3,2,2,168312
UCLA,3.26,4,2,4,164494
UCLA,3.02,3,1,3,127300
UCLA,3.09,4,2,1,156845
UCLA,3.56,7,2,6,188383
UCLA,3.56,4,0,0,151405
UCLA,3.52,5,4,2,171638
UCLA,3.86,4,0,3,173243
UCLA,2.88,4,1,2,138442
UCLA,3.65,4,3,3,199916
UCLA,3.94,5,0,1,181391
UCLA,3.27,6,4,4,170220
UCLA,3.46,6,5,4,150461
UCLA,3.36,4,3,3,149881
UCLA,3.33,5,1,1,158933
UCLA,3.47,2,0,0,136131
UCLA,3.91,4,4,1,202598
UCLA,4.0,5,1,2,184872
UCLA,3.47,5,4,3,193592
UCLA,4.0,4,0,1,179949
UCLA,3.56,5,0,2,171074
UCLA,3.99,5,4,1,189218
UCLA,3.53,6,6,1,182987
UCLA,3.59,4,4,3,198310
UCLA,3.64,3,3,3,132054
UCLA,4.0,4,1,1,150500
UCLA,3.77,0,0,0,129588
UCLA,3.38,4,4,4,166411
UCLA,3.8,0,0,0,149117
UCLA,3.46,1,1,1,147649
UCLA,3.43,5,1,1,160656
UCLA,3.78,5,0,2,193441
UCLA,3.56,2,2,0,167998
UCLA,3.62,3,1,0,162848
UCLA,3.56,6,5,2,197808
UCLA,3.64,3,0,1,164185
UCLA,3.66,7,2,6,183378
UCLA,3.07,4,1,0,157400
UCLA,3.72,5,1,5,182196
UCLA,3.31,6,4,1,172174
UCLA,3.19,4,4,0,177856
UCLA,3.54,2,2,2,116999
UCLA,3.57,4,3,3,149351
UCLA,3.38,4,1,3,143007
UCLA,3.76,2,2,0,154096
UCLA,3.22,4,2,0,149818
UCLA,3.45,3,2,1,133979
UCLA,3.41,5,4,2,156310
UCLA,3.54,4,3,4,157561
UCLA,3.62,3,3,1,200951
UCLA,3.3,4,2,0,183589
UCLA,3.73,4,3,4,171043
UCLA,3.57,5,4,0,169302
UCLA,3.08,2,0,0,115481
UCLA,3.06,2,0,1,104514
UCLA,3.55,6,4,2,179885
UCLA,3.5,3,0,2,141249
UCLA,3.53,2,0,2,149096
UCLA,3.55,5,4,5,154957
UCLA,3.61,5,5,1,167249
UCLA,3.79,2,1,2,163295
UCLA,3.28,4,1,3,162652
UCLA,3.26,5,2,0,167212
UCLA,3.28,4,3,4,141508
UCLA,3.63,5,3,0,188053
UCLA,3.86,2,0,1,149163
UCLA,3.45,4,2,3,174100
UC San Diego,3.32,0,0,0,153347
UC San Diego,3.49,1,0,0,179327
UC San Diego,3.55,4,0,0,177342
UC San Diego,3.36,3,2,2,167577
UC San Diego,3.78,2,0,0,190038
UC San Diego,3.65,1,1,0,186829
UC San Diego,3.34,1,1,1,162543
UC San Diego,3.59,0,0,0,138021
UC San Diego,3.88,2,2,0,169257
UC San Diego,3.89,3,1,2,175864
UC San Diego,3.09,0,0,0,113494
UC San Diego,3.17,0,0,0,144289
UC San Diego,3.77,0,0,0,180622
UC San Diego,3.13,0,0,0,141293
UC San Diego,3.07,2,0,0,124261
UC San Diego,3.28,0,0,0,143638
UC San Diego,3.5,2,2,1,174975
UC San Diego,3.37,3,3,3,214661
UC San Diego,3.24,1,1,0,135636
UC San Diego,3.23,0,0,0,138994
UC San Diego,3.22,0,0,0,170109
UC San Diego,3.18,3,0,3,178671
UC San Diego,3.97,0,0,0,179168
UC San Diego,3.47,1,0,1,167007
UC San Diego,3.62,0,0,0,163462
UC San Diego,3.28,3,1,3,188501
UC San Diego,3.35,0,0,0,136984
UC San Diego,3.22,2,0,0,176667
UC San Diego,2.74,2,2,2,130942
UC San Diego,3.05,4,1,4,181216
UC San Diego,2.95,1,0,1,149523
UC San Diego,2.84,2,2,0,143810
UC San Diego,3.1,0,0,0,139954
UC San Diego,3.73,3,3,3,186372
UC San Diego,3.39,0,0,0,134289
UC San Diego,3.72,1,0,0,167673
UC San Diego,3.5,1,0,1,149721
UC San Diego,3.59,0,0,0,162443
UC San Diego,3.17,2,1,1,147106
UC San Diego,3.53,3,2,2,196881
UC San Diego,3.58,2,2,1,162394
UC San Diego,3.26,0,0,0,137214
UC San Diego,3.54,1,1,0,158712
UC San Diego,3.54,3,3,2,207948
UC San Diego,3.26,0,0,0,150899
UC San Diego,3.12,0,0,0,137753
UC San Diego,3.1,3,0,3,176736
UC San Diego,3.42,2,0,1,139889
UC San Diego,3.48,2,1,0,173454
UC San Diego,3.2,4,0,4,209876
UC San Diego,3.41,2,1,0,173458
UC San Diego,3.54,2,0,1,176751
UC San Diego,3.55,6,6,3,219844
UC San Diego,3.79,1,0,0,188698
UC San Diego,3.72,0,0,0,131965
UC San Diego,3.15,2,0,2,137744
UC San Diego,3.82,2,0,1,188626
UC San Diego,3.27,1,0,1,147316
UC San Diego,3.66,0,0,0,179577
UC San Diego,3.42,5,3,0,189039
UC San Diego,3.3,2,1,2,140616
UC San Diego,2.95,0,0,0,115916
UC San Diego,3.36,3,3,2,140370
UC San Diego,3.01,1,0,0,144529
UC San Diego,3.64,1,1,0,168823
UC San Diego,3.78,2,1,2,180145
UC San Diego,3.2,0,0,0,159964
UC San Diego,3.47,2,1,1,192860
UC San Diego,3.22,4,3,3,181445
UC San Diego,3.24,2,0,0,132220
UC San Diego,3.59,1,1,1,180221
UC San Diego,3.39,1,1,1,172178
UC San Diego,3.83,1,1,0,183048
UC San Diego,3.28,1,1,0,173688
UC San Diego,3.65,1,1,0,154457
UC San Diego,3.42,3,3,3,215100
UC San Diego,3.6,0,0,0,143325
UC San Diego,3.29,3,2,1,187942
UC San Diego,3.39,1,1,0,137441
UC San Diego,3.37,2,0,2,156775
UC San Diego,3.19,0,0,0,166184
UC San Diego,3.56,3,1,0,179996
UC San Diego,3.56,3,0,3,197905
UC San Diego,3.55,3,0,3,188365
UC San Diego,3.78,0,0,0,162628
UC San Diego,3.76,3,1,2,213256
UC San Diego,3.31,2,0,1,163909
UC San Diego,3.49,0,0,0,127307
UC San Diego,3.24,1,0,1,145180
UC San Diego,3.41,2,1,2,181712
UC San Diego,3.25,2,1,2,173925
UC San Diego,3.8,2,2,1,164410
UC San Diego,3.49,2,2,1,166057
UC San Diego,3.34,4,1,3,176715
UC San Diego,3.7,3,1,0,183079
UC San Diego,2.86,0,0,0,111122
UC San Diego,2.9,1,1,1,137136
UC San Diego,3.6,1,0,1,158720
UC San Diego,3.41,0,0,0,162856
UC San Diego,3.46,2,1,1,186568
San Jose State,3.37,4,3,2,150591
San Jose State,3.14,6,4,5,131983
San Jose State,3.05,9,5,3,181617
San Jose State,3.1,8,6,8,179045
San Jose State,3.18,5,3,4,146150
San Jose State,3.05,6,0,1,137576
San Jose State,3.38,6,5,5,155180
San Jose State,3.52,6,3,2,167460
San Jose State,2.94,5,0,2,121407
San Jose State,3.35,6,2,1,152151
San Jose State,3.28,3,1,2,141456
San Jose State,3.43,6,0,1,139959
San Jose State,3.34,7,7,5,155877
San Jose State,2.98,6,1,4,119263
San Jose State,3.02,3,1,3,104288
San Jose State,3.35,7,3,7,134064
San Jose State,3.6,6,5,0,171847
San Jose State,2.79,5,4,5,157616
San Jose State,3.43,5,4,0,169261
San Jose State,3.64,4,1,2,122551
San Jose State,3.3,4,4,1,149567
San Jose State,3.48,5,4,3,174002
San Jose State,3.16,8,4,6,153907
San Jose State,3.31,5,3,5,148833
San Jose State,2.93,7,0,3,108431
San Jose State,2.75,5,4,5,133344
San Jose State,3.58,6,6,2,147693
San Jose State,3.09,6,3,1,144273
San Jose State,3.23,7,4,3,131329
San Jose State,2.99,5,2,3,140867
San Jose State,2.99,3,0,2,131832
San Jose State,3.3,4,3,4,128264
San Jose State,3.16,5,4,1,122418
San Jose State,3.43,4,4,1,111000
San Jose State,3.45,6,6,6,159361
San Jose State,3.42,5,2,2,137939
San Jose State,3.4,9,9,2,154287
San Jose State,3.73,3,2,3,153402
San Jose State,3.07,6,4,3,137306
San Jose State,3.33,4,3,4,124916
San Jose State,3.62,5,5,5,152948
San Jose State,3.66,6,5,6,185032
San Jose State,2.98,2,0,1,117528
San Jose State,3.26,6,0,5,144714
San Jose State,3.68,9,4,9,196134
San Jose State,3.47,5,3,1,131388
San Jose State,3.39,6,4,0,152592
San Jose State,3.29,7,3,2,156538
San Jose State,3.24,6,3,4,142492
San Jose State,3.41,5,5,3,158410
San Jose State,3.28,2,1,0,107510
San Jose State,3.33,7,3,4,165507
San Jose State,3.36,6,3,1,158863
San Jose State,3.17,4,2,2,88342
San Jose State,3.47,6,6,4,179908
San Jose State,4.0,5,5,3,126749
San Jose State,2.9,5,3,2,120567
San Jose State,3.42,7,3,3,175448
San Jose State,3.15,4,2,3,127622
San Jose State,3.48,7,1,5,139292
San Jose State,3.35,4,2,4,124034
San Jose State,3.53,5,1,2,164426
San Jose State,3.63,9,1,4,146927
San Jose State,3.39,8,0,2,175529
San Jose State,3.62,6,4,3,162476
San Jose State,2.75,4,0,0,94634
San Jose State,3.74,5,3,2,150526
San Jose State,3.43,6,3,1,137921
San Jose State,3.61,6,2,3,172822
San Jose State,3.03,6,5,5,157210
San Jose State,3.13,6,3,6,121841
San Jose State,3.38,6,5,3,150121
San Jose State,3.34,4,3,0,124436
San Jose State,3.41,5,0,1,161735
San Jose State,3.61,7,1,0,140471
San Jose State,2.9,4,2,3,147650
San Jose State,3.58,6,6,6,167419
San Jose State,3.34,5,0,3,124499
San Jose State,3.29,6,0,1,133455
San Jose State,2.97,5,5,0,121459
San Jose State,3.47,8,8,8,160193
San Jose State,2.74,7,1,2,133532
San Jose State,3.5,4,2,0,123287
San Jose State,2.97,7,5,1,112471
San Jose State,3.35,5,1,1,136129
San Jose State,3.31,5,1,3,115270
San Jose State,3.63,6,2,6,152348
San Jose State,3.3,5,3,1,129156
San Jose State,3.17,7,2,5,138591
San Jose State,3.21,5,2,0,167438
San Jose State,3.66,5,1,0,152340
San Jose State,3.47,5,4,0,153229
San Jose State,3.24,5,0,5,113836
San Jose State,3.28,7,1,4,143354
San Jose State,2.95,7,1,6,146749
San Jose State,3.44,8,8,0,154942
San Jose State,2.9,9,9,0,171687
San Jose State,3.53,4,2,4,128570
San Jose State,3.37,6,1,0,142727
San Jose State,3.94,4,3,0,149628
